web-scraper-order,web-scraper-start-url,V1_type_habits,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751544298-79","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble tee-shirt et short","9 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154464_uploaded_image1_1590111348.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-80","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jallabé","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154460_uploaded_image1_1590111251.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-81","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jallabé","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154456_uploaded_image1_1590111170.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-82","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Costumes african homme et femme","30 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2154441_uploaded_image1_1590110239.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-83","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon","8 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2154114_uploaded_image1_1590104841.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-84","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon","8 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2154107_uploaded_image1_1590104801.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544301-85","https://sn.coinafrique.com/categorie/vetements-homme?page=118","Polo Lacoste","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2186300_uploaded_image1_1590667528.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=117"
"1751544301-86","https://sn.coinafrique.com/categorie/vetements-homme?page=118","Pantalon Jeans homme","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2185582_uploaded_image1_1590658506.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=117"
"1751544301-87","https://sn.coinafrique.com/categorie/vetements-homme?page=118","Pantalon Jeans homme","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2185575_uploaded_image1_1590658435.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=117"
"1751544301-88","https://sn.coinafrique.com/categorie/vetements-homme?page=118","Ensemble","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2184350_uploaded_image1_1590630556.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=117"
"1751544301-89","https://sn.coinafrique.com/categorie/vetements-homme?page=118","Ensemble homme","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2184349_uploaded_image1_1590630530.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=117"
"1751544301-90","https://sn.coinafrique.com/categorie/vetements-homme?page=118","Ensemble homme","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2184348_uploaded_image1_1590630499.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=117"
"1751544301-91","https://sn.coinafrique.com/categorie/vetements-homme?page=118","Ensemble homme","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2184347_uploaded_image1_1590630460.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=117"
"1751544301-92","https://sn.coinafrique.com/categorie/vetements-homme?page=118","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2184183_uploaded_image1_1590624959.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=117"
